Wahl, Wahlberechtigte, Fakultaet, Urne, Stimmzettel, Ungueltige Stimmzettel, Ungueltige Listenstimmen, Enthaltungen Listenstimmen, Ungueltige Kandidatenstimmen, Enthaltungen Kandidatenstimmen
FS Bau, 1167, Mach/CIW, 7, 0, , , , , 
FS Bau, 1167, Mach/CIW, 8, 0, , , , , 
FS Bau, 1167, Mach/CIW, 9, 0, , , , , 
FS Bau, 1167, Mach/CIW, 10, 0, , , , , 
FS Bau, 1167, Mathe, 1, 6, 0, 0, 0, 0, 0
FS Bau, 1167, Mathe, 2, 0, 0, 0, 0, 0, 0
FS Bau, 1167, Mathe, 3, 0, 0, 0, 0, 0, 0
FS Bau, 1167, Mathe, 4, 4, 0, 0, 0, 0, 0
FS Bau, 1167, Mathe, 5, 2, 0, 0, 0, 0, 0
FS Bau, 1167, Mathe, 6, 0, , , , , 
FS Bau, 1167, Mensa, 1, 22, 1, 0, 0, 0, 0
FS Bau, 1167, Mensa, 2, 15, 1, 0, 0, 0, 0
FS Bau, 1167, Mensa, 3, 9, 2, 0, 0, 0, 0
FS Bau, 1167, Mensa, 4, 6, 2, 0, 0, 0, 0
FS Bau, 1167, Mobil, 1, 2, 0, 0, 0, 0, 0
FS Bau, 1167, Physik, 1, 0, 0, 0, 0, 0, 0
FS Bau, 1167, Physik, 3, 0, 0, 0, 0, 0, 0
FS Bau, 1167, Physik, 4, 0, 0, 0, 0, 0, 0
FS Bau, 1167, Physik, 5, 0, 0, 0, 0, 0, 0
FS Bau, 1167, RZ, 1, 0, , , , , 
FS Bau, 1167, Westhochschule, 1, 0, 0, 0, 0, 0, 0
FS Bau, 1167, Wiwi, 1, 0, 0, 0, 0, 0, 0
FS Bau, 1167, Wiwi, 2, 0, 0, 0, 0, 0, 0
FS Bau, 1167, Wiwi, 3, 0, 0, 0, 0, 0, 0
FS Bau, 1167, Wiwi, 4, 0, 0, 0, 0, 0, 0
FS Bau, 1167, Wiwi, 5, 0, 0, 0, 0, 0, 0
FS Bau, 1167, Wiwi, 6, 0, 0, 0, 0, 0, 0
FS Bau, 1167, Wiwi, 7, 0, , , , , 
FS Bau, 1167, Wiwi, 8, 0, , , , , 
FS Chemie/Bio, 1500, AKK, 1, 4, 0, 0, 0, 0, 0
FS Chemie/Bio, 1500, AKK, 2, 13, 0, 0, 0, 0, 0
FS Chemie/Bio, 1500, Audimax, 1, 2, 0, 0, 0, 0, 0
FS Chemie/Bio, 1500, Chemie/Bio, 1, 73, 3, 0, 0, 0, 0
FS Chemie/Bio, 1500, Chemie/Bio, 2, 0, , , , , 
FS Chemie/Bio, 1500, ETEC, 1, 0, 0, 0, 0, 0, 0
FS Chemie/Bio, 1500, ETEC, 2, 0, 0, 0, 0, 0, 0
FS Chemie/Bio, 1500, ETEC, 3, 0, 0, 0, 0, 0, 0
FS Chemie/Bio, 1500, ETEC, 4, 0, 0, 0, 0, 0, 0
FS Chemie/Bio, 1500, ETEC, 5, 1, 0, 0, 0, 0, 0
FS Chemie/Bio, 1500, ETEC, 6, 3, 0, 0, 0, 0, 0
FS Chemie/Bio, 1500, ETEC, 7, 0, 0, 0, 0, 0, 0
FS Chemie/Bio, 1500, GeistSoz, 1, 0, 0, 0, 0, 0, 0
FS Chemie/Bio, 1500, GeistSoz, 2, 0, 0, 0, 0, 0, 0
FS Chemie/Bio, 1500, GeistSoz, 3, 0, 0, 0, 0, 0, 0
FS Chemie/Bio, 1500, GeistSoz, 4, 0, 0, 0, 0, 0, 0
FS Chemie/Bio, 1500, Geo, 1, 0, 0, 0, 0, 0, 0
FS Chemie/Bio, 1500, Geo, 2, 0, 0, 0, 0, 0, 0
FS Chemie/Bio, 1500, Gerthsen, 1, 0, 0, 0, 0, 0, 0
FS Chemie/Bio, 1500, Gerthsen, 2, 0, , , , , 
FS Chemie/Bio, 1500, HMU, 1, 0, 0, 0, 0, 0, 0
FS Chemie/Bio, 1500, Info, 2, 0, 0, 0, 0, 0, 0
FS Chemie/Bio, 1500, Info, 3, 0, 0, 0, 0, 0, 0
FS Chemie/Bio, 1500, Info, 4, 0, 0, 0, 0, 0, 0
FS Chemie/Bio, 1500, Info, 5, 0, 0, 0, 0, 0, 0
FS Chemie/Bio, 1500, Mach/CIW, 1, 0, 0, 0, 0, 0, 0
FS Chemie/Bio, 1500, Mach/CIW, 2, 0, 0, 0, 0, 0, 0
FS Chemie/Bio, 1500, Mach/CIW, 3, 0, 0, 0, 0, 0, 0
FS Chemie/Bio, 1500, Mach/CIW, 4, 0, 0, 0, 0, 0, 0
FS Chemie/Bio, 1500, Mach/CIW, 5, 0, 0, 0, 0, 0, 0
FS Chemie/Bio, 1500, Mach/CIW, 6, 0, 0, 0, 0, 0, 0
FS Chemie/Bio, 1500, Mach/CIW, 7, 0, , , , , 
FS Chemie/Bio, 1500, Mach/CIW, 8, 0, , , , , 
FS Chemie/Bio, 1500, Mach/CIW, 9, 0, , , , , 
FS Chemie/Bio, 1500, Mach/CIW, 10, 0, , , , , 
FS Chemie/Bio, 1500, Mathe, 1, 2, 0, 0, 0, 0, 0
FS Chemie/Bio, 1500, Mathe, 2, 0, 0, 0, 0, 0, 0
FS Chemie/Bio, 1500, Mathe, 3, 0, 0, 0, 0, 0, 0
FS Chemie/Bio, 1500, Mathe, 4, 0, 0, 0, 0, 0, 0
FS Chemie/Bio, 1500, Mathe, 5, 0, 0, 0, 0, 0, 0
FS Chemie/Bio, 1500, Mathe, 6, 0, , , , , 
FS Chemie/Bio, 1500, Mensa, 1, 4, 0, 0, 0, 0, 0
FS Chemie/Bio, 1500, Mensa, 2, 2, 0, 0, 0, 0, 0
FS Chemie/Bio, 1500, Mensa, 3, 5, 0, 0, 0, 0, 0
FS Chemie/Bio, 1500, Mensa, 4, 4, 0, 0, 0, 0, 0
FS Chemie/Bio, 1500, Mobil, 1, 5, 0, 0, 0, 0, 0
FS Chemie/Bio, 1500, Physik, 1, 1, 0, 0, 0, 0, 0
FS Chemie/Bio, 1500, Physik, 3, 4, 0, 0, 0, 0, 0
FS Chemie/Bio, 1500, Physik, 4, 0, 0, 0, 0, 0, 0
FS Chemie/Bio, 1500, Physik, 5, 0, 0, 0, 0, 0, 0
FS Chemie/Bio, 1500, RZ, 1, 0, , , , , 
FS Chemie/Bio, 1500, Westhochschule, 1, 0, 0, 0, 0, 0, 0
FS Chemie/Bio, 1500, Wiwi, 1, 0, 0, 0, 0, 0, 0
FS Chemie/Bio, 1500, Wiwi, 2, 0, 0, 0, 0, 0, 0
FS Chemie/Bio, 1500, Wiwi, 3, 0, 0, 0, 0, 0, 0
FS Chemie/Bio, 1500, Wiwi, 4, 6, 0, 0, 0, 0, 0
FS Chemie/Bio, 1500, Wiwi, 5, 0, 0, 0, 0, 0, 0
FS Chemie/Bio, 1500, Wiwi, 6, 0, 0, 0, 0, 0, 0
FS Chemie/Bio, 1500, Wiwi, 7, 0, , , , , 
FS Chemie/Bio, 1500, Wiwi, 8, 0, , , , , 
FS CIW, 1221, AKK, 1, 20, 0, 0, 0, 1, 0
FS CIW, 1221, AKK, 2, 15, 1, 0, 0, 0, 0
FS CIW, 1221, Audimax, 1, 5, 0, 0, 0, 0, 0
FS CIW, 1221, Chemie/Bio, 1, 0, 0, 0, 0, 0, 0
FS CIW, 1221, Chemie/Bio, 2, 0, , , , , 
FS CIW, 1221, ETEC, 1, 0, 0, 0, 0, 0, 0
FS CIW, 1221, ETEC, 2, 0, 0, 0, 0, 0, 0
FS CIW, 1221, ETEC, 3, 4, 0, 0, 0, 0, 0
FS CIW, 1221, ETEC, 4, 0, 0, 0, 0, 0, 0
FS CIW, 1221, ETEC, 5, 2, 0, 0, 0, 0, 0
FS CIW, 1221, ETEC, 6, 0, 0, 0, 0, 0, 0
FS CIW, 1221, ETEC, 7, 1, 0, 0, 0, 0, 0
FS CIW, 1221, GeistSoz, 1, 0, 0, 0, 0, 0, 0
FS CIW, 1221, GeistSoz, 2, 0, 0, 0, 0, 0, 0
FS CIW, 1221, GeistSoz, 3, 0, 0, 0, 0, 0, 0
FS CIW, 1221, GeistSoz, 4, 0, 0, 0, 0, 0, 0
FS CIW, 1221, Geo, 1, 0, 0, 0, 0, 0, 0
FS CIW, 1221, Geo, 2, 0, 0, 0, 0, 0, 0
FS CIW, 1221, Gerthsen, 1, 5, 0, 0, 0, 0, 0
FS CIW, 1221, Gerthsen, 2, 0, , , , , 
FS CIW, 1221, HMU, 1, 1, 0, 0, 0, 0, 0
FS CIW, 1221, Info, 2, 1, 0, 0, 0, 0, 0
FS CIW, 1221, Info, 3, 0, 0, 0, 0, 0, 0
FS CIW, 1221, Info, 4, 0, 0, 0, 0, 0, 0
FS CIW, 1221, Info, 5, 0, 0, 0, 0, 0, 0
FS CIW, 1221, Mach/CIW, 1, 11, 0, 0, 0, 0, 0
FS CIW, 1221, Mach/CIW, 2, 35, 5, 0, 0, 0, 0
FS CIW, 1221, Mach/CIW, 3, 21, 0, 0, 0, 0, 0
FS CIW, 1221, Mach/CIW, 4, 15, 3, 0, 0, 0, 0
FS CIW, 1221, Mach/CIW, 5, 15, 1, 0, 0, 0, 0
FS CIW, 1221, Mach/CIW, 6, 0, 0, 0, 0, 0, 0
FS CIW, 1221, Mach/CIW, 7, 0, , , , , 
FS CIW, 1221, Mach/CIW, 8, 0, , , , , 
FS CIW, 1221, Mach/CIW, 9, 0, , , , , 
FS CIW, 1221, Mach/CIW, 10, 0, , , , , 
FS CIW, 1221, Mathe, 1, 4, 0, 0, 0, 0, 0
FS CIW, 1221, Mathe, 2, 0, 0, 0, 0, 0, 0
FS CIW, 1221, Mathe, 3, 0, 0, 0, 0, 0, 0
FS CIW, 1221, Mathe, 4, 1, 0, 0, 0, 0, 0
FS CIW, 1221, Mathe, 5, 0, 0, 0, 0, 0, 0
FS CIW, 1221, Mathe, 6, 0, , , , , 
FS CIW, 1221, Mensa, 1, 40, 3, 0, 0, 0, 0
FS CIW, 1221, Mensa, 2, 41, 1, 0, 0, 0, 0
FS CIW, 1221, Mensa, 3, 21, 3, 0, 0, 0, 0
FS CIW, 1221, Mensa, 4, 12, 1, 0, 0, 0, 0
FS CIW, 1221, Mobil, 1, 12, 0, 0, 0, 0, 0
FS CIW, 1221, Physik, 1, 0, 0, 0, 0, 0, 0
FS CIW, 1221, Physik, 3, 0, 0, 0, 0, 0, 0
FS CIW, 1221, Physik, 4, 0, 0, 0, 0, 0, 0
FS CIW, 1221, Physik, 5, 0, 0, 0, 0, 0, 0
FS CIW, 1221, RZ, 1, 0, , , , , 
FS CIW, 1221, Westhochschule, 1, 0, 0, 0, 0, 0, 0
FS CIW, 1221, Wiwi, 1, 0, 0, 0, 0, 0, 0
FS CIW, 1221, Wiwi, 2, 4, 1, 0, 0, 0, 0
FS CIW, 1221, Wiwi, 3, 0, 0, 0, 0, 0, 0
FS CIW, 1221, Wiwi, 4, 0, 0, 0, 0, 0, 0
FS CIW, 1221, Wiwi, 5, 0, 0, 0, 0, 0, 0
FS CIW, 1221, Wiwi, 6, 0, 0, 0, 0, 0, 0
FS CIW, 1221, Wiwi, 7, 0, , , , , 
FS CIW, 1221, Wiwi, 8, 0, , , , , 
FS ETEC, 1826, AKK, 1, 20, 0, 0, 0, 2, 0
FS ETEC, 1826, AKK, 2, 25, 4, 0, 0, 0, 0
FS ETEC, 1826, Audimax, 1, 1, 0, 0, 0, 0, 0
FS ETEC, 1826, Chemie/Bio, 1, 0, 0, 0, 0, 0, 0
FS ETEC, 1826, Chemie/Bio, 2, 0, , , , , 
FS ETEC, 1826, ETEC, 1, 3, 0, 0, 0, 0, 0
FS ETEC, 1826, ETEC, 2, 19, 1, 0, 0, 0, 0
FS ETEC, 1826, ETEC, 3, 104, 4, 0, 0, 0, 1
FS ETEC, 1826, ETEC, 4, 74, 0, 0, 0, 2, 0
FS ETEC, 1826, ETEC, 5, 69, 1, 0, 0, 0, 0
FS ETEC, 1826, ETEC, 6, 25, 1, 0, 0, 0, 0
FS ETEC, 1826, ETEC, 7, 128, 0, 0, 0, 0, 0
FS ETEC, 1826, GeistSoz, 1, 0, 0, 0, 0, 0, 0
FS ETEC, 1826, GeistSoz, 2, 0, 0, 0, 0, 0, 0
FS ETEC, 1826, GeistSoz, 3, 0, 0, 0, 0, 0, 0
FS ETEC, 1826, GeistSoz, 4, 0, 0, 0, 0, 0, 0
FS ETEC, 1826, Geo, 1, 0, 0, 0, 0, 0, 0
FS ETEC, 1826, Geo, 2, 0, 0, 0, 0, 0, 0
FS ETEC, 1826, Gerthsen, 1, 0, 0, 0, 0, 0, 0
FS ETEC, 1826, Gerthsen, 2, 0, , , , , 
FS ETEC, 1826, HMU, 1, 33, 3, 0, 0, 0, 0
FS ETEC, 1826, Info, 2, 0, 0, 0, 0, 0, 0
FS ETEC, 1826, Info, 3, 0, 0, 0, 0, 0, 0
FS ETEC, 1826, Info, 4, 0, 0, 0, 0, 0, 0
